"mdl_url","title_en","title_zh","genres","Action","Adventure","Business","Comedy","Crime","Documentary","Drama","Family","Fantasy","Food","Historical","Horror","Law","Life","Martial Arts","Medical","Melodrama","Military","Music","Mystery","Political","Psychological","Romance","Sci-Fi","Sitcom","Sports","Supernatural","Thriller","Tokusatsu","War","Wuxia","Youth"
"/31618-winter-begonia","Winter Begonia","鬓边不是海棠红","Historical, Business, Romance, Drama",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/5591-battle-of-changsha","Battle of Changsha","战长沙","Military, Historical, Romance, War",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"/51571-cat-s-cradle","The Bad Kids","隐秘的角落","Adventure, Thriller, Mystery",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"/26385-three-lives-three-worlds-the-pillow-book","Eternal Love of Dream","三生三世枕上书","Romance, Wuxia, Drama, Fantasy",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"/23281-heavy-sweetness-ash-like-frost","Ashes of Love","香蜜沉沉烬如霜","Romance, Wuxia, Drama, Fantasy",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"/59327-the-legend-of-gu-and-jue","Ancient Love Poetry","千古玦尘","Romance, Wuxia, Drama, Fantasy",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"/38907-the-third-princess-from-the-rumors","The Romance of Tiger and Rose","传闻中的陈芊芊","Historical, Comedy, Romance, Fantasy",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/30867-special-forces","Glory of Special Forces","特战荣耀","Action, Military, Youth, Drama",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"/52897-lovely-us","Lovely Us","如此可爱的我们","Comedy, Romance, Life, Youth",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"/33767-crossfire","Cross Fire","穿越火线","Action, Youth, Sci-Fi, Sports",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"/59021-tian-ya-ke","Word of Honor","山河令","Mystery, Wuxia, Fantasy, Political",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"/76433-secrets-in-the-lattice","Our Secret","暗格里的秘密","Romance, Life, Youth",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"/50395-forever-love","Forever Love","百岁之好，一言为定","Comedy, Romance, Youth, Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"/67269-the-moment-of-meeting-again","Shining for One Thing","一闪一闪亮星星","Mystery, Romance, Youth, Fantasy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"/24018-the-kings-avatar","The King’s Avatar","全职高手","Action, Youth, Sports",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"/54335-my-small-indeed-fortunate","My Little Happiness","我的小确幸","Comedy, Law, Romance, Drama",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/30919-arsenal-military-academy","Arsenal Military Academy","烈火军校","Action, Military, Historical, Romance",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/687517-wo-zai-ta-xiang-ting-hao-de","Remembrance of Things Past","我在他乡挺好的","Romance, Life, Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/27234-le-coup-de-foudre","Le Coup de Foudre","我只喜欢你","Comedy, Romance, Life, Youth",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
