"mdl_url","title_en","title_zh","tags","Action","Adapted From A Manhua","Adapted From A Novel","Adapted From A Web Novel","Adventure","Age Gap [Drama Life]","Age Gap [Real Life]","Amnesia","Animal","Arranged Marriage","Best Friends' Relationship","Betrayal","Bickering Mains' Relationship","Boss-Employee Relationship","Bromance","Brother-Sister Relationship","Brothers' Relationship","Calm Male Lead","Campus Setting","Car Accident","Censored Adaptation Of Same-sex Original Work","Character Development","Chasing A Dream","Cheerful Female Lead","Childhood Friends' Relationship","Chinese Communist Party","Chinese Republican Era","City Setting","Cohabitation","Cold Male Lead","Cold Man/Warm Woman","Comedy","Coming Of Age","Company President (CEO) Male Lead","Competition","Conspiracy","Contract Relationship","Countryside Setting","Cross-Dressing","Crossworlds Traveler","Cultivation","Death","Demon","Detective","Detective Fiction","Detective Male Lead","Doctor Female Lead","Doctor Male Lead","Drama","Eccentric Male Lead","Enemies To Lovers","Entertainment Industry","Espionage","Fake Relationship","Family","Family Relationship","Fantasy World","Fashion Industry","Father-Daughter Relationship","Female Centered Plot","Female Chases Male First","Filmed Vertically","First Love","Flashback To Past","Fluffy","Forced Marriage","Friends To Lovers","Friendship","Gay Male Lead","Gay Romance","Hardship","Hardworking Female Lead","Harem","Healing","Healthy Mains’ Relationship","Hidden Identity","High School","Historical","Historical Fiction","Historical Figure","Identity Swap","Infidelity","Innocent Female Lead","Interspecies Romance","Investigation","Jealousy","LGBTQ+","Love At First Sight","Love Triangle","Love/Hate Relationship","Lovers Separated","Lying","Male Chases Female First","Marriage","Marriage Of Convenience","Martial Arts","MDL Remake","Meet Again","Mental Illness","Ming Dynasty","Miniseries","Misunderstanding","Multiple Couples","Multiple Mains","Murder","Nice Female Lead","Nice Male Lead","Older Man/Younger Woman","Older Woman/Younger Man","Orphan Female Lead","Palace Setting","Police Department Setting","Police Officer Male Lead","Possessive Male Lead","Power Struggle","Prince Male Lead","Princess Female Lead","Qing Dynasty","Reincarnation","Revenge","Reverse-Harem","Revolution","Rich Female Lead","Rich Male Lead","Rich Man/Poor Woman","Rivalry","Royalty","Sassy Female Lead","School Setting","Second Chance","Second Sino-Japanese War","Secondary Couple","Secret Crush","Short Length Series","Sibling Rivalry","Sismance","Slice Of Life","Slight Comedy","Slight Romance","Slow Burn Romance","Smart Female Lead","Smart Male Lead","Song Dynasty","Special Power","Star Crossed Lovers","Steamy Kiss","Strong Female Lead","Strong Male Lead","Student Female Lead","Student Male Lead","Student Supporting Character","Supernatural","Suspense","Sword-fight","Tang Dynasty","Teamwork","Teenager Female Lead","Teenager Male Lead","Teenager Supporting Character","Time Skip","Time Travel","Tragic Past","Transmigration","University","Unrequited Love","Village Setting","War","Web Series","Workplace Romance","Workplace Setting","Xianxia","Xuanhuan","Young Adult Female Lead","Young Adult Male Lead","Youth"
"/45437-qi-hun","Hikaru no Go","棋魂","Adapted From A Manga, Go Game, Bromance, Competition, Friendship, Character Development, Rivalry, Life Lesson, Master-Disciple Relationship, Found Family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/16547-eternal-love","Eternal Love","三生三世十里桃花","Male Chases Female First, Second Chance, Xianxia, Strong Male Lead, Strong Female Lead, Fate, Steamy Kiss, Older Woman/Younger Man, Adapted From A Novel, Arranged Marriage",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"/28565-the-tale-of-yanxi-palace","Story of Yanxi Palace","延禧攻略","Smart Female Lead, Strong Female Lead, Older Man/Younger Woman, Revenge, Sismance, Qing Dynasty, Harem, Qianlong Emperor, Royal Rules And Etiquette, Female Rivalry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/62337-you-are-my-glory","You Are My Glory","你是我的荣耀","First Love Returns, Famous Lead/Common Lead, Successful Female Lead, Friends To Lovers, Popular Female Lead, Meet Again, Steamy Kiss, Female Chases Male First, First Love, Ambition",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/39661-love-and-redemption","Love and Redemption","琉璃","Hidden Identity, Xianxia, Steamy Kiss, First Love, Fated Love, Nice Male Lead, Reincarnation, Adapted From A Novel, Strong Female Lead, Tragic Past",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"/59487-sword-snow-stride","Sword Snow Stride","雪中悍刀行","Sword-fight, Martial Arts, Warrior Male Lead, Heir Male Lead, Cunning Protagonist, Genius Male Lead, Master-Servant Relationship, Scheme, Slight Romance, Strong Male Lead",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"/68429-the-lighter-and-the-princess-gown","Lighter & Princess","点燃我，温暖你","Programmer Male Lead, Genius Male Lead, Bad Boy Male Lead, First Love, Revenge, Adapted From A Novel, University, Smart Female Lead, Slow Burn Romance, Steamy Kiss",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"/63781-love-your-bones-forever-2","One and Only","周生如故","Arranged Marriage, Slow Burn Romance, Lovers Separated, Forbidden Love, Master-Disciple Relationship, Hardworking Male Lead, Slight Romance, Difficult Childhood, No Kisses, Older Man/Younger Woman",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/53953-princess-changge","The Long Ballad","长歌行","Friends To Lovers, Character Development, Strong Female Lead, Adapted From A Manhua, Strong Male Lead, Smart Female Lead, Slow Burn Romance, Hidden Identity, Revenge, Cross-Dressing",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/70249-lie-zui-tu-jian","Under the Skin","猎罪图鉴","Murder, Investigation, Death, Police Procedural, Deepfake, Domestic Violence, Elder Fraud, Plastic Surgery, Human Trafficking, School Bullying",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
